ID,Source,Text,Embedding (Vector)
1,Wikipedia & Web Search for Afghanistan,"# Afghanistan

## General Overview
Afghanistan, officially the Islamic Emirate of Afghanistan, is a landlocked country located at the crossroads of Central and South Asia. It is bordered by Pakistan to the east and south, Iran to the west, Turkmenistan to the northwest, Uzbekistan to the north, Tajikistan to the northeast, and China to the northeast and east. Occupying 652,864 square kilometers (252,072 sq mi) of land, the country is predominantly mountainous with plains in the north and the southwest, which are separated by the Hindu Kush mountain range. Kabul is the country's capital and largest city. Afghanistan's population is estimated to be between 35 and 50 million.
Human habitation i","[0.02468710206449032, -0.028849532827734947, 0.012099893763661385, 0.015974782407283783, 0.02515639178454876, 0.016926636919379234, 0.017812756821513176, -0.061182063072919846, -0.0001934449392138049, -0.01466014888137579, 0.02535904012620449, 0.00239557190798223, 0.05842847004532814, -0.0454874224960804, -0.04132036492228508, -0.0078031038865447044, -0.03698624670505524, -0.09069065004587173, 0.03394467011094093, -0.12152383476495743, -0.017815209925174713, -0.026938924565911293, 0.10274070501327515, -0.06219204142689705, 0.03929266706109047, -0.054435599595308304, 0.06710211932659149, -0.01699463650584221, 0.005364987533539534, -0.008101589046418667, 0.03935869783163071, 0.0012438659323379397, -0.06805267184972763, 0.07610549032688141, -0.03637884557247162, 0.052073027938604355, -0.041916221380233765, 0.040658652782440186, 0.05712198466062546, 0.009330989792943, 0.07085564732551575, -0.0015499552246183157, 0.09421314299106598, -0.028890792280435562, 0.042981747537851334, 0.04212033376097679, -0.03940221667289734, -0.04817996174097061, 0.003850323148071766, -0.006929614581167698, 0.03842734172940254, 0.05396353453397751, -0.029030339792370796, -0.016761256381869316, 0.05489540472626686, -0.020722033455967903, -0.01905234344303608, 0.02978980541229248, -0.08036274462938309, 0.05171529948711395, 0.008842729963362217, 0.01623430848121643, -0.017960166558623314, 0.001446809503249824, -0.058356184512376785, -0.027823949232697487, 0.10867871344089508, 0.03443080931901932, -0.036480773240327835, 0.005998869426548481, -0.04673311114311218, 0.022918611764907837, -0.006011059042066336, -0.032880138605833054, -0.02573523111641407, -0.032706119120121, -0.036135125905275345, 0.10794594138860703, 0.0038854065351188183, 0.041517000645399094, 0.057061050087213516, 0.15204952657222748, 0.10433231294155121, 0.007327411323785782, -0.014882862567901611, -0.014299007132649422, -0.029428450390696526, -0.0041703456081449986, 0.05442800372838974, -0.0394345223903656, 0.09290517121553421, -0.022314658388495445, -0.059059299528598785, 0.14166459441184998, 0.07526431232690811, 0.008576478809118271, 0.03789735585451126, -0.0660756304860115, -0.030094869434833527, 0.09594158828258514, 0.027844799682497978, -0.007298765238374472, 0.010961729101836681, 0.012737785466015339, 0.0013415375724434853, 0.08995871990919113, 0.008741642348468304, -0.04596740007400513, -0.06076549366116524, -0.020276086404919624, -0.002527771517634392, -0.02925286255776882, -0.024470852687954903, -0.08779214322566986, -0.04800606146454811, -0.024904929101467133, 0.023320570588111877, 0.026857299730181694, -0.028038736432790756, -0.06338781118392944, -0.05150822550058365, -0.05495936796069145, 0.028109202161431313, 0.07539498060941696, 0.08527577668428421, -0.07384561747312546, -0.06061814725399017, 0.01671869121491909, -0.015239651314914227, -0.04387103021144867, -0.07653143256902695, 0.04993481561541557, -0.13279464840888977, 0.07055770605802536, 0.0847168043255806, 0.0026548083405941725, -0.026082772761583328, 0.0133306123316288, -0.04433639347553253, 0.005604258272796869, -0.03643529489636421, -0.03882848471403122, 0.015021447092294693, -0.03769693523645401, -0.04427013546228409, 0.0733468309044838, -0.03681100904941559, 0.026139969006180763, -0.03046305477619171, -0.0033895026426762342, 0.01084756851196289, -0.0936790332198143, -0.049515873193740845, 0.04588085040450096, 0.03465021774172783, -0.030474809929728508, 0.015641354024410248, -0.0285343024879694, 0.0838407352566719, -0.015229612588882446, -0.14153233170509338, -0.06527061760425568, -0.03668460622429848, 0.015121306292712688, -0.04870922490954399, -0.01335554663091898, -0.134857177734375, -0.06886337697505951, 0.0241189394146204, -0.02853376604616642, -0.050068121403455734, -0.052588220685720444, 0.0923813059926033, 0.03262491151690483, 0.00950572732836008, 0.001920398324728012, 0.03471881523728371, -0.010981542058289051, -0.008065229281783104, 0.03569559380412102, 0.024231120944023132, -0.07609756290912628, 0.01852484419941902, 0.05544985085725784, -0.02899876795709133, 0.01735484041273594, -0.017491014674305916, 0.13254527747631073, 0.033251889050006866, -0.05121364817023277, -0.02444765530526638, 0.028721431270241737, -0.016012772917747498, -0.07149369269609451, 0.00929576437920332, -0.020117780193686485, 0.017435459420084953, 0.13698554039001465, 0.04685906320810318, -0.05240095406770706, 0.004849973134696484, 0.15956398844718933, -0.05610629916191101, -0.02779913693666458, -0.00021872069919481874, 0.013720924034714699, 0.04088188707828522, -0.011256805621087551, -0.03266102075576782, 0.0668991208076477, 0.08529957383871078, -0.03542761132121086, -0.05870102345943451, 0.0036559475120157003, -0.010873209685087204, -0.01672246865928173, -0.0356840156018734, -0.041531018912792206, -0.06798745691776276, 0.03902548551559448, -0.005864860024303198, 0.012167367152869701, 0.047264374792575836, -0.020805932581424713, 0.013326936401426792, -0.05660455301403999, -0.05183267220854759, -0.031368669122457504, -0.04704304784536362, 0.038085926324129105, 0.056299783289432526, 0.01444336585700512, -0.06314841657876968, 0.07782276719808578, 0.007147244177758694, 0.03052649088203907, 0.09269992262125015, -0.004962413106113672, 0.08673960715532303, -0.06580119580030441, -0.01056436263024807, -0.02449081838130951, 0.03292590007185936, 0.0045143598690629005, 0.03280622139573097, -0.060859307646751404, -0.0035904862452298403, 0.04744593799114227, -0.008335285820066929, 0.01465868204832077, 0.03884071484208107, -0.008815892972052097, -0.027691025286912918, 0.009861455298960209, 0.06383958458900452, -0.033881425857543945, -0.06250141561031342, 0.11376625299453735, 0.05040884390473366, -0.059867750853300095, -0.030897336080670357, 0.010921044275164604, 0.009122614748775959, 0.030032828450202942, 0.059762004762887955, 0.05094849318265915, 0.022806616500020027, 0.01912539452314377, -0.06416988372802734, 0.009676884859800339, 0.0247857216745615, 0.08796796947717667, 0.025494970381259918, -0.07785169780254364, -0.038725245743989944, 0.06018201634287834, 0.07535215467214584, -0.10810498893260956, 0.069693922996521, 0.07670462876558304, -0.06705304980278015, 0.0014783898368477821, 0.01972268335521221, -0.0587676540017128, -0.04061364755034447, -0.060751643031835556, 0.006487345788627863, 0.04271150007843971, -0.07908163964748383, -0.04470384865999222, -0.024247094988822937, -0.03678528591990471, -0.03152871131896973, 0.07269959896802902, -0.005505142733454704, -0.031271468847990036, -0.07034266740083694, 0.012037402018904686, 0.06708318740129471, 0.11592557281255722, 0.05560870096087456, -0.020557241514325142, -0.05568646639585495, -0.04787634685635567, 0.03723040968179703, 0.07173467427492142, -0.06477455794811249, -0.03473522886633873, 0.008103023283183575, 0.0017428211867809296, 0.0023147116880863905, -0.005127974785864353, -0.028200628235936165, -0.07276135683059692, -0.0024031787179410458, 0.005775578320026398, -0.020485734567046165, 0.011271764524281025, 0.02411024458706379, -0.05408155918121338, -0.02768229879438877, -0.04761257767677307, 0.02493857406079769, 0.015622164122760296, -0.0540936142206192, 0.11825507879257202, 0.045679714530706406, -0.01906459964811802, 0.01585640385746956, -0.01598844863474369, 0.014586160890758038, 0.06496892869472504, -0.08150401711463928, 0.026260023936629295, -0.05317259579896927, 0.03613812476396561, -0.06599161773920059, -0.002597762504592538, 0.0653877928853035, 0.0019017212325707078, 0.05917495861649513, -0.05478747561573982, -0.06825093179941177, 0.02339479885995388, 0.01974586956202984, 0.06024714186787605, -0.038691479712724686, -0.013933508656919003, 0.10829859226942062, 0.0688929408788681, 0.07738812267780304, -0.048589229583740234, 0.026467090472579002, 0.014668573625385761, -0.09549032151699066, 0.041924815624952316, -0.03562607616186142, -0.0378074087202549, -0.014771704562008381, 0.01543602254241705, -0.01863088086247444, -0.0454336553812027, 0.14621756970882416, -0.026342378929257393, 0.0065462528727948666, -0.0022004360798746347, 0.009373542852699757, -0.04639948904514313, -0.02249649353325367, 0.010855779983103275, 0.08064588904380798, -0.03712789714336395, -0.0014813763555139303, -0.03291760012507439, 1.9002543467649957e-06, -0.04375256597995758, -0.023499181494116783, -0.07454374432563782, 0.01504652388393879, -0.013065277598798275, -0.06518489867448807, -0.0007237010868266225, -0.06874815374612808, 0.0061258901841938496]"
2,Wikipedia & Web Search for Afghanistan,"n Afghanistan dates to the Middle Paleolithic era. Popularly referred to as the graveyard of empires, the land has witnessed numerous military campaigns, including those by the Persians, Alexander the Great, the Maurya Empire, Arab Muslims, the Mongols, the British, the Soviet Union, and a US-led coalition. Afghanistan also served as the source from which the Greco-Bactrians and the Mughals, among others, rose to form major empires. Because of the various conquests and periods in both the Iranian and Indian cultural spheres, the area was a center for Zoroastrianism, Buddhism, Hinduism, and later Islam. The modern state of Afghanistan began with the Durrani Empire in the 18th century under Ah","[-0.022932143881917, 0.031944844871759415, 0.024554463103413582, 0.021107958629727364, -0.005957687273621559, 0.022317517548799515, -0.036695048213005066, -0.049178652465343475, 0.0019750867504626513, -0.046181678771972656, 0.02066957950592041, -0.045995038002729416, 0.10267076641321182, -0.07660237699747086, -0.020556045696139336, -0.005588909611105919, -0.05239833518862724, -0.0834658145904541, 0.02178121730685234, -0.10256633162498474, -0.032819148153066635, -0.035193201154470444, 0.07872269302606583, -0.030567588284611702, 0.07861414551734924, -0.055168405175209045, 0.040616437792778015, -0.016793251037597656, -0.02328469790518284, -0.015345481224358082, 0.02532365545630455, -0.03592115640640259, -0.01065763272345066, 0.030964797362685204, -0.016268640756607056, 0.0653308629989624, 0.012850198894739151, 0.030469194054603577, 0.08014626055955887, 0.022567255422472954, 0.0021370204631239176, -0.020020700991153717, 0.1005282774567604, 0.03803335502743721, 0.004892679397016764, 0.04804898053407669, 0.03409310430288315, 0.01399131491780281, -0.026837697252631187, 0.05085493624210358, 0.06758882850408554, 0.043184794485569, -0.08517995476722717, -0.03623604401946068, 0.01683112233877182, -0.02140170708298683, -0.024290533736348152, 0.0014632336096838117, -0.011090236715972424, 0.038838185369968414, -0.10175488144159317, -0.015238601714372635, -0.017469564452767372, -0.023380693048238754, -0.08224489539861679, -0.03691623732447624, 0.09122807532548904, -0.030181050300598145, 0.02050049789249897, 0.03084552474319935, -0.011708558537065983, 0.01961647905409336, 0.012019874528050423, -0.06222819909453392, -0.08431539684534073, -0.013553873635828495, -0.02721327170729637, 0.08248111605644226, -0.01494571566581726, -0.03129688277840614, 0.10983159393072128, 0.0826161652803421, 0.09333819895982742, -0.009518049657344818, -0.00017504238348919898, -0.07571245729923248, -0.018442533910274506, -0.005197685211896896, 0.025322861969470978, -0.047817692160606384, 0.04306578263640404, 0.025090182200074196, -0.05801847204566002, 0.08940258622169495, 0.06406375020742416, 0.05068525671958923, 0.08574855327606201, 0.0910971611738205, 0.011699656024575233, -0.007843817584216595, 0.05518747493624687, -0.019883524626493454, -0.01360259111970663, 0.023530200123786926, 0.020764799788594246, 0.02838018164038658, -0.07338248938322067, -0.07779465615749359, -0.061408888548612595, -0.05369173735380173, 0.03008856438100338, -0.05010269582271576, -0.04243899881839752, -0.016490470618009567, -0.021579831838607788, -0.07386056333780289, -0.016853025183081627, -0.0333886444568634, -0.10091429948806763, -0.05888136848807335, -0.016739659011363983, -0.05026527866721153, 0.07812133431434631, 0.026420628651976585, 0.0038198931142687798, 0.0045599984005093575, 0.01587129756808281, 0.04704172909259796, -0.011210231110453606, -0.15031155943870544, -0.08471334725618362, 0.006075091660022736, -0.09887868165969849, -0.02044164203107357, 0.0702572911977768, -0.03355995938181877, -0.04105275869369507, -0.011608890257775784, -0.025387469679117203, -0.01439213939011097, -0.0464155338704586, -0.056629616767168045, 0.03270762786269188, -0.0008707058732397854, -0.13067318499088287, 0.09434536099433899, 0.026079021394252777, -0.021415390074253082, -0.05997472256422043, 0.047702234238386154, 0.007796559948474169, -0.11624021828174591, -0.04046212509274483, 0.03859002888202667, 0.04856756702065468, -0.02157350443303585, -0.007565360050648451, 0.013874630443751812, 0.06520680338144302, -0.055146265774965286, 0.0035457892809063196, -0.0227174274623394, -0.010160518810153008, 0.05193505063652992, -0.012049470096826553, -0.06292197108268738, -0.06852461397647858, -0.024189407005906105, 0.03413471579551697, 0.015547588467597961, -0.04821551591157913, -0.018700305372476578, 0.0711461752653122, 0.03549567982554436, 0.009370275773108006, 0.10792690515518188, -0.06135876104235649, -0.001533433678559959, -0.05087956786155701, 0.05057830363512039, 0.036947596818208694, -0.06500093638896942, -0.044109176844358444, 0.07323843240737915, 0.018614981323480606, 0.03438686579465866, 0.032901596277952194, 0.08095499873161316, 0.06966011971235275, -0.014161583967506886, -0.01728793978691101, 0.08069053292274475, -0.06228422373533249, -0.049257971346378326, 0.005166699644178152, 0.04952005669474602, 0.04476911947131157, 0.17256377637386322, 0.06970580667257309, -0.053158048540353775, -0.09878212958574295, 0.03609246015548706, -0.02822340652346611, -0.03107536770403385, 0.0655292421579361, 0.006048697512596846, -0.015668652951717377, -0.032356634736061096, 0.056097593158483505, 0.028980720788240433, 0.06022156402468681, -0.014846726320683956, -0.02101929485797882, -0.00010210769687546417, -0.028485972434282303, -0.020207516849040985, -0.06292946636676788, -0.0562380813062191, -0.08270419389009476, 0.04034705460071564, 0.017065810039639473, -0.030658507719635963, -0.06436589360237122, -0.014906167984008789, 0.06937410682439804, -0.014608433470129967, -0.04277808591723442, 0.031052181497216225, -0.043358199298381805, 0.042473047971725464, -0.028497854247689247, -0.010140376165509224, -0.05138835310935974, 0.0726524144411087, 0.021710343658924103, -0.009509227238595486, 0.08945108205080032, -0.010793980211019516, 0.058479953557252884, -0.11728309094905853, 0.05825057253241539, -0.09319517761468887, 0.04037969559431076, -0.000362204882549122, -0.020905490964651108, -0.030120491981506348, -0.03600316867232323, 0.0425281897187233, -0.020644331350922585, 0.00468461262062192, -0.042366113513708115, -0.052975334227085114, -0.01960984617471695, 0.044084493070840836, 0.07236151397228241, -0.07927335053682327, 0.030769390985369682, 0.05464355647563934, 0.06247028708457947, 0.03537088260054588, 0.06668853759765625, 0.009730343706905842, -0.018814021721482277, 0.03504764288663864, 0.021075783297419548, 0.043515317142009735, 0.04452025145292282, 0.027636580169200897, -0.02332361228764057, 0.06638714671134949, -0.0598125085234642, 0.12208450585603714, 0.017625560984015465, -0.0750989094376564, -0.018499530851840973, -0.008449736982584, 0.033134106546640396, -0.09413980692625046, 0.10925740748643875, 0.0191437266767025, -0.04575048014521599, -0.008217147551476955, 0.05792016163468361, -0.06222957372665405, -0.09425842016935349, -0.043964289128780365, 0.05042380094528198, 0.0017958299722522497, -0.08900868147611618, -0.022166835144162178, -0.05796030908823013, -0.07709576934576035, -0.06832230091094971, 0.11588496714830399, 0.013380449265241623, -0.016824591904878616, -0.13691705465316772, 0.035052359104156494, 0.017482450231909752, 0.05810544639825821, 0.020573100075125694, 0.02247544936835766, -0.023504069074988365, -0.04267879202961922, 0.023696091026067734, 0.101046122610569, -0.03666721284389496, 0.01099647581577301, -0.034395482391119, -0.01850367896258831, -0.017386823892593384, -0.00018304736295249313, -0.027426702901721, -0.0020238093566149473, 0.08858682215213776, -0.03995975852012634, 0.010454792529344559, 0.05900348722934723, -0.025240276008844376, -0.037672944366931915, -0.009583204053342342, 0.09527701139450073, 0.02390912175178528, -0.004552661441266537, -0.10395403951406479, 0.0421939380466938, 0.08294865489006042, 0.007114181760698557, 0.06915095448493958, 0.02265375852584839, -0.04784573242068291, 0.03730881214141846, -0.009113180451095104, -0.013904301449656487, -0.04487267881631851, 0.007682006806135178, -0.027851076796650887, -0.032436203211545944, 0.013669440522789955, -0.002502689603716135, 0.023651843890547752, 0.018503302708268166, -0.045965079218149185, -0.0036599833983927965, 0.053640030324459076, 0.03789956122636795, 0.00020362946088425815, -0.010327620431780815, 0.04731287062168121, -0.0007645119330845773, 0.002667739288881421, -0.033360838890075684, 0.043081529438495636, -0.07966416329145432, -0.027541449293494225, 0.01745612733066082, -0.047979775816202164, -0.02080884948372841, 0.051523469388484955, -0.055390920490026474, -0.0062779770232737064, -0.054795313626527786, 0.09854182600975037, 0.053653281182050705, 0.09296106547117233, 0.05966506525874138, 0.010892066173255444, 0.06814730912446976, -0.03380967304110527, 0.00987523328512907, 0.09596896171569824, 0.014747139066457748, 0.0010418444871902466, -0.026271101087331772, -0.02360401675105095, -0.024085449054837227, 0.009656061418354511, 0.031297385692596436, 0.0791836678981781, -0.059805139899253845, -0.023160357028245926, -0.012063592672348022, 0.01624307967722416, -0.03230429068207741]"
3,Wikipedia & Web Search for Afghanistan,"mad Shah Durrani, although Dost Mohammad Khan is sometimes considered to be the founder of the first modern Afghan state. Afghanistan became a buffer state in the Great Game between the British Empire and the Russian Empire. From India, the British attempted to subjugate Afghanistan but were repelled in the First Anglo-Afghan War; the Second Anglo-Afghan War saw a British victory. Following the Third Anglo-Afghan War in 1919, Afghanistan became free of foreign political hegemony, and emerged as the independent Kingdom of Afghanistan in 1926; this monarchy lasted almost half a century. 
Since the late 1970s, Afghanistan's history has been dominated by extensive warfare, including coups, invas","[-0.04675286263227463, 0.04348182678222656, 0.008693145588040352, -0.037448760122060776, -0.030170923098921776, 0.006695533636957407, 0.03864005580544472, 0.018072569742798805, -0.016982903704047203, 0.015761032700538635, -0.0056332312524318695, -0.014190246351063251, 0.05746607109904289, -0.007664370350539684, -0.015199141576886177, 0.026258435100317, -0.0864899680018425, -0.0892934575676918, -0.026582889258861542, -0.044937290251255035, 0.029310211539268494, -0.087677501142025, 0.08791467547416687, -0.045541901141405106, 0.08417300134897232, -0.07208877801895142, 0.09995713084936142, 0.02170150727033615, 0.017291739583015442, -0.05559020861983299, 0.018476705998182297, -0.06227695196866989, -0.0026924472767859697, 0.05958671122789383, -0.07949364930391312, 0.06950921565294266, 0.037309978157281876, 0.0663767084479332, 0.06479036062955856, 0.011085470207035542, 0.0820620134472847, -0.033656779676675797, 0.090867780148983, 0.04887506738305092, -0.005048411898314953, 0.049173757433891296, 0.029516126960515976, 0.015236752107739449, -0.0599488690495491, -0.027005400508642197, 0.1170477643609047, 0.11748471856117249, -0.05457637831568718, -0.08559872955083847, 0.10590615123510361, -0.017869221046566963, -0.03845123201608658, 0.0065289512276649475, -0.026877842843532562, -0.00523360725492239, -0.09352747350931168, 0.018946239724755287, -0.01121998019516468, 0.022260794416069984, -0.04083098843693733, -0.025584600865840912, 0.07380224019289017, -0.045374441891908646, -0.031138554215431213, 0.011618824675679207, 0.02321804314851761, 0.02817479893565178, 0.037333350628614426, -0.015182113274931908, -0.048354774713516235, -0.06188393384218216, -0.004496642388403416, 0.11034257709980011, -0.03623320907354355, 0.05249327793717384, 0.0688248947262764, 0.1081969290971756, 0.03670642152428627, 0.016875257715582848, -0.04447544366121292, -0.050076644867658615, -0.060406431555747986, -0.08970073610544205, 0.014501667581498623, 0.004116803407669067, 0.027477914467453957, -0.04989892244338989, 0.022040268406271935, 0.08398773521184921, 0.10030728578567505, 0.054793525487184525, 0.055900316685438156, 0.06988442689180374, -0.05412141978740692, 0.005990055855363607, -0.012360598891973495, -0.028040725737810135, 0.007613495923578739, -0.01101046521216631, 0.02713235653936863, -0.03920886665582657, -0.07525224983692169, -0.06674167513847351, -0.08324912190437317, -0.00593456020578742, -0.02669791877269745, -0.07278086990118027, 0.0014497670345008373, -0.034946780651807785, 0.030904434621334076, -0.0813850536942482, -0.016074713319540024, 0.03853927180171013, -0.01335742138326168, -0.10005433112382889, 0.0015153028070926666, 0.02290422096848488, 0.014398314990103245, 0.013008007779717445, -0.024697724729776382, 0.06302513182163239, -0.018499797210097313, 0.02582356333732605, -0.04321226477622986, -0.10677595436573029, -0.08007347583770752, 0.038365695625543594, -0.10732884705066681, -0.003423837712034583, 0.06297041475772858, -0.005210802424699068, -0.053078871220350266, -0.009193907491862774, 0.020084679126739502, -0.04101123288273811, -0.05815780162811279, 0.011432123370468616, 0.01238978561013937, -0.02819940075278282, -0.10576280951499939, 0.023385202512145042, 0.06418260931968689, -0.0041754888370633125, -0.09375806897878647, 0.07749861478805542, -0.00967070646584034, -0.1674538254737854, -0.10919079184532166, 0.04052536562085152, 0.08207980543375015, -0.08043650537729263, -0.03227584809064865, 0.06564825773239136, 0.04992616921663284, -0.04040493816137314, -0.07786591351032257, -0.03834494575858116, -0.009878980927169323, -0.00855735968798399, -0.00033374648774042726, -0.022026577964425087, -0.0407755970954895, -0.03464312478899956, 0.08074819296598434, -0.0005419882945716381, -0.0198543481528759, -0.036797236651182175, 0.043673112988471985, 0.014758304692804813, 0.01286773569881916, -0.03245008736848831, -0.07488860189914703, -0.0413987934589386, -0.0166932400316, 0.03506157919764519, 0.06630223244428635, -0.05069669336080551, -0.06970128417015076, 0.006153629161417484, 0.04194614291191101, 0.06503478437662125, -0.012029643170535564, 0.11960043013095856, -0.03688983619213104, -0.009259122423827648, -0.03486744686961174, 0.07313168793916702, -0.01268084067851305, -0.053866174072027206, -0.027533074840903282, 0.03357928246259689, 0.02981465496122837, 0.11456380039453506, 0.06609734892845154, -0.047597046941518784, -0.10459525138139725, 0.007831064984202385, -0.04869828745722771, 0.04024540260434151, 0.007490378804504871, -0.03339724987745285, 0.023239169269800186, -0.04377623647451401, -0.026512576267123222, 0.047125041484832764, 0.11044439673423767, -0.00215030531398952, -0.07358209043741226, -0.019448313862085342, 0.05359407886862755, 0.01624663546681404, -0.009972156025469303, 0.01659235544502735, -0.10673245787620544, 0.043648719787597656, 0.029835062101483345, -0.0074316770769655704, 0.0027710464783012867, -0.02428819239139557, 0.041751716285943985, -0.0380396731197834, -0.018995152786374092, 0.0019757712725549936, -0.0012394231744110584, 0.031604014337062836, 0.03305201604962349, -0.005726696457713842, -0.06222594529390335, 0.07698864489793777, -0.001354313688352704, -0.014502533711493015, 0.08625982701778412, 0.024610016494989395, 0.019694389775395393, -0.035023223608732224, 0.05309149995446205, -0.08964788168668747, -0.021758684888482094, 0.012968803755939007, 0.01669766940176487, -0.0011262475745752454, -0.04568153992295265, 0.04745850712060928, 0.00023156845418270677, 0.011207908391952515, -0.02779219299554825, 0.03664226084947586, 0.009825303219258785, -0.040865566581487656, 0.09619945287704468, -0.025776192545890808, -0.022965196520090103, 0.023943360894918442, 0.07778056710958481, 0.00505596399307251, 0.032495953142642975, 0.002928813686594367, -0.011749004013836384, 0.03554771840572357, 0.05745932087302208, 0.022411048412322998, 0.010819288901984692, -0.014894504100084305, 0.02041660249233246, 0.07178038358688354, -0.016474677249789238, 0.038412973284721375, -0.006772933527827263, -0.10454346239566803, -0.03771238774061203, 0.013225763104856014, 0.019627662375569344, -0.10638033598661423, 0.04476805031299591, -0.01732547953724861, -0.011778457090258598, 0.036083731800317764, 0.08352911472320557, -0.05767257884144783, -0.08118536323308945, -0.07052788138389587, 0.08028283715248108, 0.009160807356238365, -0.10980674624443054, 0.019608594477176666, -0.024061551317572594, 0.011139847338199615, 0.048857346177101135, 0.03518873453140259, -0.013695884495973587, -0.005853429436683655, -0.06166897341609001, -0.006502071861177683, -0.0042475322261452675, 0.11665181070566177, 0.048703961074352264, -0.0486113540828228, -0.06759562343358994, 0.07746247947216034, 0.016323568299412727, 0.09751560539007187, -0.07750830799341202, -0.00985542219132185, -0.03438124433159828, 0.01654641516506672, 0.026785146445035934, -0.003956364002078772, 0.007770203985273838, 0.0011520646512508392, 0.04061780497431755, 0.022662116214632988, 0.017878830432891846, 0.0535622276365757, 0.01116714347153902, -0.04136040434241295, -0.029206471517682076, -0.0005583608290180564, -0.004871214274317026, 0.0275424737483263, -0.03010498732328415, 0.13172386586666107, -0.033233486115932465, -0.046343740075826645, -0.05269857496023178, -0.026970479637384415, -0.041062191128730774, 0.06179463490843773, -0.08054260164499283, 0.009572360664606094, -0.051867347210645676, 0.015263302251696587, -0.05449540168046951, 0.009168380871415138, -0.01856016367673874, -0.017879342660307884, 0.10548704117536545, -0.024585125967860222, -0.029020637273788452, 0.040573570877313614, 0.05247573181986809, 0.05729691684246063, 0.006743262056261301, -0.08319173753261566, 0.027165327221155167, 0.02275383472442627, 0.022241519764065742, -0.023484041914343834, -0.07164657860994339, -0.03939417377114296, 0.010740654543042183, 0.04506180062890053, -0.029058191925287247, -0.008788936771452427, 0.08260238915681839, -0.028350796550512314, -0.008126071654260159, 0.007162786088883877, 0.05273551493883133, 0.06093360856175423, 0.04201680049300194, 0.07384838163852692, -0.023522647097706795, 0.015094858594238758, -0.007582528050988913, -0.04484476521611214, 0.1314944624900818, 0.0382780097424984, 0.001145970425568521, 0.0011455230414867401, 0.0407990962266922, -0.022359196096658707, -0.02824932523071766, -0.027347905561327934, -0.07167169451713562, -0.006948833353817463, -0.049277130514383316, -0.021644989028573036, 0.06150803714990616, -0.009116406552493572]"
